
【10-28 17:31:05]  X:-0.24181485 Y:0.35047174 Z:1.719735
【10-28 17:31:06]  X:-0.20306589 Y:0.17590165 Z:-0.08482162
【10-28 17:31:06]  X:0.5181176 Y:-0.20240009 Z:-2.0981698
【10-28 17:31:06]  X:-0.072837405 Y:0.23648852 Z:-1.9579545
【10-28 17:31:06]  X:-0.56485605 Y:-0.10679268 Z:0.27750117
【10-28 17:31:06]  X:-0.11038794 Y:-0.63196766 Z:2.3339927
【10-28 17:31:07]  X:-0.1941443 Y:0.2830938 Z:1.5699323
【10-28 17:31:07]  X:0.15832481 Y:0.037950017 Z:-0.16724639
【10-28 17:31:07]  X:0.73756194 Y:0.07576688 Z:-2.009753
【10-28 17:31:07]  X:0.23515695 Y:0.006391582 Z:-1.984453
【10-28 17:31:07]  X:-0.041944757 Y:-0.38482648 Z:0.15446323
【10-28 17:31:08]  X:-0.1615206 Y:-0.1792306 Z:2.3184133
【10-28 17:31:08]  X:-0.58882445 Y:0.6118608 Z:1.6238613
【10-28 17:31:08]  X:-0.06564687 Y:0.12650006 Z:0.10279794
【10-28 17:31:08]  X:0.62291294 Y:-0.46512073 Z:-1.9923093
【10-28 17:31:08]  X:0.26525065 Y:0.17044218 Z:-2.0612853
【10-28 17:31:09]  X:0.07390267 Y:-0.20666115 Z:-0.049667917
【10-28 17:31:09]  X:0.25925854 Y:-0.3984086 Z:2.4082947
【10-28 17:31:09]  X:-0.31252173 Y:0.5677855 Z:1.5386401
【10-28 17:31:09]  X:-0.2460759 Y:0.25579643 Z:0.3416833
【10-28 17:31:09]  X:0.5355613 Y:-0.076965295 Z:-1.6687355
【10-28 17:31:10]  X:0.39601177 Y:0.019973693 Z:-2.2333252
【10-28 17:31:10]  X:-0.2837596 Y:-0.044341598 Z:-0.32437277
【10-28 17:31:10]  X:-0.6139913 Y:-0.4050665 Z:1.9531609
【10-28 17:31:10]  X:-0.25033695 Y:0.19853851 Z:2.1662135
【10-28 17:31:10]  X:-0.008522109 Y:0.112917945 Z:0.4744418
【10-28 17:31:11]  X:0.2605901 Y:0.045140546 Z:-1.7170719
【10-28 17:31:11]  X:0.6781735 Y:0.07390267 Z:-2.3813968
【10-28 17:31:11]  X:0.049667917 Y:0.25140223 Z:-0.7243793
【10-28 17:31:11]  X:-0.3924165 Y:-0.70094347 Z:2.0421104
【10-28 17:31:11]  X:-0.4921518 Y:0.16524902 Z:2.2321267
【10-28 17:31:12]  X:-0.657534 Y:0.46565336 Z:0.65566975
【10-28 17:31:12]  X:0.96539515 Y:0.056858446 Z:-1.387639
【10-28 17:31:12]  X:1.3622059 Y:-0.08668583 Z:-2.4756727
【10-28 17:31:12]  X:-0.34434646 Y:-0.079095826 Z:-1.0263815
【10-28 17:31:12]  X:-0.6321008 Y:-0.73183614 Z:1.6713986
【10-28 17:31:13]  X:-0.47151232 Y:-0.043942124 Z:2.523077
【10-28 17:31:13]  X:-0.98044205 Y:0.59694713 Z:1.0215878
【10-28 17:31:13]  X:0.6970819 Y:-0.03448791 Z:-1.1745863
【10-28 17:31:13]  X:1.3720596 Y:-0.34128383 Z:-2.533064
【10-28 17:31:13]  X:0.23355906 Y:-0.08775109 Z:-1.4430327
【10-28 17:31:14]  X:-0.6139913 Y:-0.17430377 Z:1.1476884
【10-28 17:31:14]  X:-0.06644582 Y:-0.1874864 Z:2.5694158
【10-28 17:31:14]  X:-0.45300338 Y:0.29374644 Z:1.5279875
